experiment_id,representation,algorithm,benchmark_protocol,split_seed,model_seed,run_name,MAE,RMSE,R2,Pearson_r,Spearman_rho
B30_MORGAN_SVR,morgan_r2_2048,svr,tdc_compatible_5split,5,,split_seed_5,0.4157755144546354,0.50046337165405619,0.46835258369925581,0.69645468814637457,0.57451097092635839
B31_MORGAN_RF,morgan_r2_2048,rf,tdc_compatible_5split,1,,split_seed_1,0.42301222312134151,0.5222252343094701,0.42111163668090934,0.67700719239985441,0.63455685178535481
B31_MORGAN_RF,morgan_r2_2048,rf,tdc_compatible_5split,2,,split_seed_2,0.41133218583597431,0.51265742145734572,0.44212922557659085,0.70655795243636133,0.67000768130621313
B31_MORGAN_RF,morgan_r2_2048,rf,tdc_compatible_5split,3,,split_seed_3,0.47827970563990158,0.59771346828439775,0.24165784822487124,0.61039748461210774,0.46751206320720573
B31_MORGAN_RF,morgan_r2_2048,rf,tdc_compatible_5split,4,,split_seed_4,0.42725127903543891,0.52395235779067428,0.41727626095635306,0.69118768539393893,0.62790989593297264
B31_MORGAN_RF,morgan_r2_2048,rf,tdc_compatible_5split,5,,split_seed_5,0.40220638346788667,0.50038807359620374,0.46851255147565951,0.73065298841326587,0.72211729315823903
B32_MORGAN_ET,morgan_r2_2048,et,tdc_compatible_5split,1,,split_seed_1,0.40765051493188997,0.4910173456098722,0.488232407171726,0.72186836559298817,0.67459585640324116
B32_MORGAN_ET,morgan_r2_2048,et,tdc_compatible_5split,2,,split_seed_2,0.39387664430528796,0.4807839390848665,0.50934185184750835,0.74978426604126114,0.71328753580716342
B32_MORGAN_ET,morgan_r2_2048,et,tdc_compatible_5split,3,,split_seed_3,0.44203683735199162,0.53489393361076221,0.39268437100337361,0.68047154787012964,0.57819095116262986
B32_MORGAN_ET,morgan_r2_2048,et,tdc_compatible_5split,4,,split_seed_4,0.41086492084970028,0.49470718636632982,0.48051196274122854,0.72425631173554128,0.68537636249670042
B32_MORGAN_ET,morgan_r2_2048,et,tdc_compatible_5split,5,,split_seed_5,0.40255413103536902,0.49442437619309859,0.48110574634430581,0.73294663158637585,0.67867496681698258
B33_MORGAN_XGB,morgan_r2_2048,xgb,tdc_compatible_5split,1,,split_seed_1,0.40789201154617488,0.50558012315676792,0.45742585410343006,0.70605674346482927,0.59980334171185656
B33_MORGAN_XGB,morgan_r2_2048,xgb,tdc_compatible_5split,2,,split_seed_2,0.42865994658880552,0.52690835614301668,0.41068257199373992,0.68939336993878975,0.57709100606016484
B33_MORGAN_XGB,morgan_r2_2048,xgb,tdc_compatible_5split,3,,split_seed_3,0.49524897907818805,0.62775857700875015,0.16350293207174393,0.59975341771557156,0.44057457820570362
B33_MORGAN_XGB,morgan_r2_2048,xgb,tdc_compatible_5split,4,,split_seed_4,0.38067227096550921,0.46671170315642296,0.53764400271096413,0.74969972446133437,0.66621066352504499
B33_MORGAN_XGB,morgan_r2_2048,xgb,tdc_compatible_5split,5,,split_seed_5,0.41852008333089646,0.50272963839048024,0.46352672463425859,0.71261604528598899,0.65135350679888948
